type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,3500,1000,PT,0-10,1833.0,40.2,-32.4
Nonref,3500,1000,PT,10-20,5670.0,42.7,-16.7
Nonref,3500,1000,PT,20-30,6524.0,31.1,4.0
Nonref,3500,1000,PT,30-40,5993.0,19.5,12.3
Nonref,3500,1000,PT,40-50,5401.0,12.9,10.2
Nonref,3500,1000,PT,50-60,6027.0,10.8,6.9
Nonref,3500,1000,PT,60-70,6598.0,8.9,12.3
Nonref,3500,1000,PT,70-80,6226.0,6.3,20.6
Nonref,3500,1000,PT,80-90,3983.0,3.0,24.8
Nonref,3500,1000,PT,90-95,1316.0,0.7,23.5
Nonref,3500,1000,PT,95-99,346.0,0.1,25.4
Nonref,3500,1000,PT,Top 1%,206.0,0.0,28.6
Nonref,3500,1000,PT,ALL,5199.0,6.5,7.7
Refund,2000,0,CL,0-10,4613.0,101.1,-24.2
Refund,2000,0,CL,10-20,7361.0,55.4,-8.7
Refund,2000,0,CL,20-30,7494.0,35.7,12.2
Refund,2000,0,CL,30-40,6063.0,19.8,20.8
Refund,2000,0,CL,40-50,4392.0,10.5,19.2
Refund,2000,0,CL,50-60,3801.0,6.8,11.3
Refund,2000,0,CL,60-70,3877.0,5.2,12.6
Refund,2000,0,CL,70-80,3821.0,3.9,17.6
Refund,2000,0,CL,80-90,3587.0,2.7,20.5
Refund,2000,0,CL,90-95,3519.0,1.8,21.3
Refund,2000,0,CL,95-99,2236.0,0.7,25.8
Refund,2000,0,CL,Top 1%,247.0,0.0,28.6
Refund,2000,0,CL,ALL,5047.0,6.3,11.8
Refund,2000,0,NO,0-10,4613.0,101.1,-24.2
Refund,2000,0,NO,10-20,7361.0,55.4,-8.7
Refund,2000,0,NO,20-30,7495.0,35.7,12.2
Refund,2000,0,NO,30-40,6063.0,19.8,20.8
Refund,2000,0,NO,40-50,4392.0,10.5,19.2
Refund,2000,0,NO,50-60,3801.0,6.8,11.3
Refund,2000,0,NO,60-70,3877.0,5.2,12.6
Refund,2000,0,NO,70-80,3822.0,3.9,17.6
Refund,2000,0,NO,80-90,3588.0,2.7,20.5
Refund,2000,0,NO,90-95,3526.0,1.8,21.3
Refund,2000,0,NO,95-99,3563.0,1.1,25.2
Refund,2000,0,NO,Top 1%,3708.0,0.3,28.6
Refund,2000,0,NO,ALL,5127.0,6.4,11.8
Refund,2000,0,PT,0-10,4610.0,101.0,-24.2
Refund,2000,0,PT,10-20,7360.0,55.4,-8.7
Refund,2000,0,PT,20-30,7494.0,35.7,12.2
Refund,2000,0,PT,30-40,6061.0,19.8,20.8
Refund,2000,0,PT,40-50,4390.0,10.5,19.2
Refund,2000,0,PT,50-60,3797.0,6.8,11.3
Refund,2000,0,PT,60-70,3810.0,5.2,13.2
Refund,2000,0,PT,70-80,3189.0,3.2,20.8
Refund,2000,0,PT,80-90,1307.0,1.0,23.5
Refund,2000,0,PT,90-95,331.0,0.2,21.5
Refund,2000,0,PT,95-99,261.0,0.1,25.3
Refund,2000,0,PT,Top 1%,174.0,0.0,28.6
Refund,2000,0,PT,ALL,4545.0,5.7,12.5
Refund,2000,500,CL,0-10,4889.0,107.1,-24.2
Refund,2000,500,CL,10-20,7603.0,57.2,-8.7
Refund,2000,500,CL,20-30,7739.0,36.9,12.2
Refund,2000,500,CL,30-40,6300.0,20.5,20.8
Refund,2000,500,CL,40-50,4612.0,11.0,19.2
Refund,2000,500,CL,50-60,4000.0,7.1,11.3
Refund,2000,500,CL,60-70,4103.0,5.6,12.6
Refund,2000,500,CL,70-80,4069.0,4.1,17.6
Refund,2000,500,CL,80-90,3810.0,2.8,20.5
Refund,2000,500,CL,90-95,3738.0,1.9,21.3
Refund,2000,500,CL,95-99,2382.0,0.7,25.8
Refund,2000,500,CL,Top 1%,256.0,0.0,28.6
Refund,2000,500,CL,ALL,5275.0,6.6,11.8
Refund,2000,500,NO,0-10,4889.0,107.2,-24.2
Refund,2000,500,NO,10-20,7603.0,57.2,-8.7
Refund,2000,500,NO,20-30,7739.0,36.9,12.2
Refund,2000,500,NO,30-40,6300.0,20.5,20.8
Refund,2000,500,NO,40-50,4612.0,11.0,19.2
Refund,2000,500,NO,50-60,4000.0,7.1,11.3
Refund,2000,500,NO,60-70,4103.0,5.6,12.6
Refund,2000,500,NO,70-80,4069.0,4.1,17.6
Refund,2000,500,NO,80-90,3811.0,2.8,20.5
Refund,2000,500,NO,90-95,3745.0,1.9,21.3
Refund,2000,500,NO,95-99,3770.0,1.1,25.2
Refund,2000,500,NO,Top 1%,3925.0,0.3,28.6
Refund,2000,500,NO,ALL,5359.0,6.7,11.8
Refund,2000,500,PT,0-10,4886.0,107.1,-24.2
Refund,2000,500,PT,10-20,7602.0,57.2,-8.7
Refund,2000,500,PT,20-30,7739.0,36.9,12.2
Refund,2000,500,PT,30-40,6298.0,20.5,20.8
Refund,2000,500,PT,40-50,4611.0,11.0,19.2
Refund,2000,500,PT,50-60,3996.0,7.1,11.3
Refund,2000,500,PT,60-70,4036.0,5.5,13.2
Refund,2000,500,PT,70-80,3436.0,3.5,20.8
Refund,2000,500,PT,80-90,1477.0,1.1,23.7
Refund,2000,500,PT,90-95,349.0,0.2,21.6
Refund,2000,500,PT,95-99,266.0,0.1,25.3
Refund,2000,500,PT,Top 1%,176.0,0.0,28.6
Refund,2000,500,PT,ALL,4754.0,6.0,12.5
Refund,2000,1000,CL,0-10,5165.0,113.2,-24.2
Refund,2000,1000,CL,10-20,7845.0,59.1,-8.7
Refund,2000,1000,CL,20-30,7984.0,38.0,12.2
Refund,2000,1000,CL,30-40,6537.0,21.3,20.8
Refund,2000,1000,CL,40-50,4833.0,11.5,19.2
Refund,2000,1000,CL,50-60,4200.0,7.5,11.3
Refund,2000,1000,CL,60-70,4329.0,5.9,12.6
Refund,2000,1000,CL,70-80,4316.0,4.4,17.6
Refund,2000,1000,CL,80-90,4032.0,3.0,20.5
Refund,2000,1000,CL,90-95,3957.0,2.0,21.3
Refund,2000,1000,CL,95-99,2535.0,0.8,25.9
Refund,2000,1000,CL,Top 1%,266.0,0.0,28.6
Refund,2000,1000,CL,ALL,5503.0,6.9,11.8
Refund,2000,1000,NO,0-10,5165.0,113.2,-24.2
Refund,2000,1000,NO,10-20,7845.0,59.1,-8.7
Refund,2000,1000,NO,20-30,7984.0,38.0,12.2
Refund,2000,1000,NO,30-40,6537.0,21.3,20.8
Refund,2000,1000,NO,40-50,4833.0,11.5,19.2
Refund,2000,1000,NO,50-60,4200.0,7.5,11.3
Refund,2000,1000,NO,60-70,4329.0,5.9,12.6
Refund,2000,1000,NO,70-80,4317.0,4.4,17.6
Refund,2000,1000,NO,80-90,4034.0,3.0,20.5
Refund,2000,1000,NO,90-95,3964.0,2.1,21.3
Refund,2000,1000,NO,95-99,3977.0,1.2,25.2
Refund,2000,1000,NO,Top 1%,4142.0,0.3,28.6
Refund,2000,1000,NO,ALL,5591.0,7.0,11.8
Refund,2000,1000,PT,0-10,5162.0,113.1,-24.2
Refund,2000,1000,PT,10-20,7844.0,59.1,-8.7
Refund,2000,1000,PT,20-30,7984.0,38.0,12.2
Refund,2000,1000,PT,30-40,6536.0,21.3,20.8
Refund,2000,1000,PT,40-50,4831.0,11.5,19.2
Refund,2000,1000,PT,50-60,4196.0,7.5,11.3
Refund,2000,1000,PT,60-70,4262.0,5.8,13.2
Refund,2000,1000,PT,70-80,3683.0,3.7,20.8
Refund,2000,1000,PT,80-90,1674.0,1.2,23.8
Refund,2000,1000,PT,90-95,387.0,0.2,21.7
Refund,2000,1000,PT,95-99,272.0,0.1,25.3
Refund,2000,1000,PT,Top 1%,180.0,0.0,28.6
Refund,2000,1000,PT,ALL,4966.0,6.2,12.5
Refund,2500,0,CL,0-10,5399.0,118.3,-24.2
Refund,2500,0,CL,10-20,8167.0,61.5,-8.7
Refund,2500,0,CL,20-30,8357.0,39.8,12.2
Refund,2500,0,CL,30-40,6911.0,22.5,20.8
Refund,2500,0,CL,40-50,5213.0,12.4,19.2
Refund,2500,0,CL,50-60,4609.0,8.2,11.3
Refund,2500,0,CL,60-70,4686.0,6.3,12.6
Refund,2500,0,CL,70-80,4649.0,4.7,17.6
Refund,2500,0,CL,80-90,4393.0,3.3,20.5
Refund,2500,0,CL,90-95,4333.0,2.2,21.3
Refund,2500,0,CL,95-99,2820.0,0.8,25.9
Refund,2500,0,CL,Top 1%,275.0,0.0,28.6
Refund,2500,0,CL,ALL,5854.0,7.3,11.8
Refund,2500,0,NO,0-10,5399.0,118.3,-24.2
Refund,2500,0,NO,10-20,8167.0,61.5,-8.7
Refund,2500,0,NO,20-30,8357.0,39.8,12.2
Refund,2500,0,NO,30-40,6911.0,22.5,20.8
Refund,2500,0,NO,40-50,5213.0,12.4,19.2
Refund,2500,0,NO,50-60,4609.0,8.2,11.3
Refund,2500,0,NO,60-70,4686.0,6.3,12.6
Refund,2500,0,NO,70-80,4650.0,4.7,17.6
Refund,2500,0,NO,80-90,4394.0,3.3,20.5
Refund,2500,0,NO,90-95,4340.0,2.2,21.3
Refund,2500,0,NO,95-99,4396.0,1.3,25.2
Refund,2500,0,NO,Top 1%,4598.0,0.3,28.6
Refund,2500,0,NO,ALL,5951.0,7.5,11.8
Refund,2500,0,PT,0-10,5396.0,118.3,-24.2
Refund,2500,0,PT,10-20,8166.0,61.5,-8.7
Refund,2500,0,PT,20-30,8357.0,39.8,12.2
Refund,2500,0,PT,30-40,6909.0,22.5,20.8
Refund,2500,0,PT,40-50,5211.0,12.4,19.2
Refund,2500,0,PT,50-60,4605.0,8.2,11.3
Refund,2500,0,PT,60-70,4617.0,6.2,13.2
Refund,2500,0,PT,70-80,4014.0,4.1,20.8
Refund,2500,0,PT,80-90,1970.0,1.5,24.1
Refund,2500,0,PT,90-95,424.0,0.2,21.9
Refund,2500,0,PT,95-99,276.0,0.1,25.3
Refund,2500,0,PT,Top 1%,182.0,0.0,28.6
Refund,2500,0,PT,ALL,5286.0,6.6,12.6
Refund,2500,500,CL,0-10,5675.0,124.4,-24.2
Refund,2500,500,CL,10-20,8409.0,63.3,-8.7
Refund,2500,500,CL,20-30,8602.0,41.0,12.2
Refund,2500,500,CL,30-40,7148.0,23.3,20.8
Refund,2500,500,CL,40-50,5434.0,13.0,19.2
Refund,2500,500,CL,50-60,4809.0,8.6,11.3
Refund,2500,500,CL,60-70,4912.0,6.6,12.6
Refund,2500,500,CL,70-80,4897.0,4.9,17.6
Refund,2500,500,CL,80-90,4615.0,3.4,20.5
Refund,2500,500,CL,90-95,4552.0,2.4,21.3
Refund,2500,500,CL,95-99,2974.0,0.9,26.0
Refund,2500,500,CL,Top 1%,285.0,0.0,28.6
Refund,2500,500,CL,ALL,6083.0,7.6,11.8
Refund,2500,500,NO,0-10,5675.0,124.4,-24.2
Refund,2500,500,NO,10-20,8409.0,63.3,-8.7
Refund,2500,500,NO,20-30,8602.0,41.0,12.2
Refund,2500,500,NO,30-40,7148.0,23.3,20.8
Refund,2500,500,NO,40-50,5434.0,13.0,19.2
Refund,2500,500,NO,50-60,4809.0,8.6,11.3
Refund,2500,500,NO,60-70,4912.0,6.6,12.6
Refund,2500,500,NO,70-80,4897.0,4.9,17.6
Refund,2500,500,NO,80-90,4616.0,3.4,20.5
Refund,2500,500,NO,90-95,4559.0,2.4,21.3
Refund,2500,500,NO,95-99,4603.0,1.4,25.2
Refund,2500,500,NO,Top 1%,4815.0,0.3,28.6
Refund,2500,500,NO,ALL,6183.0,7.7,11.8
Refund,2500,500,PT,0-10,5672.0,124.3,-24.2
Refund,2500,500,PT,10-20,8408.0,63.3,-8.7
Refund,2500,500,PT,20-30,8602.0,41.0,12.2
Refund,2500,500,PT,30-40,7146.0,23.3,20.8
Refund,2500,500,PT,40-50,5432.0,13.0,19.2
Refund,2500,500,PT,50-60,4805.0,8.6,11.3
Refund,2500,500,PT,60-70,4843.0,6.6,13.2
Refund,2500,500,PT,70-80,4262.0,4.3,20.8
Refund,2500,500,PT,80-90,2164.0,1.6,24.3
Refund,2500,500,PT,90-95,470.0,0.2,22.0
Refund,2500,500,PT,95-99,282.0,0.1,25.3
Refund,2500,500,PT,Top 1%,185.0,0.0,28.6
Refund,2500,500,PT,ALL,5498.0,6.9,12.6
Refund,2500,1000,CL,0-10,5951.0,130.4,-24.2
Refund,2500,1000,CL,10-20,8651.0,65.1,-8.7
Refund,2500,1000,CL,20-30,8847.0,42.1,12.2
Refund,2500,1000,CL,30-40,7385.0,24.1,20.8
Refund,2500,1000,CL,40-50,5654.0,13.5,19.2
Refund,2500,1000,CL,50-60,5009.0,8.9,11.3
Refund,2500,1000,CL,60-70,5138.0,7.0,12.6
Refund,2500,1000,CL,70-80,5144.0,5.2,17.6
Refund,2500,1000,CL,80-90,4838.0,3.6,20.5
Refund,2500,1000,CL,90-95,4771.0,2.5,21.3
Refund,2500,1000,CL,95-99,3134.0,0.9,26.0
Refund,2500,1000,CL,Top 1%,295.0,0.0,28.6
Refund,2500,1000,CL,ALL,6311.0,7.9,11.8
Refund,2500,1000,NO,0-10,5951.0,130.4,-24.2
Refund,2500,1000,NO,10-20,8651.0,65.1,-8.7
Refund,2500,1000,NO,20-30,8847.0,42.1,12.2
Refund,2500,1000,NO,30-40,7385.0,24.1,20.8
Refund,2500,1000,NO,40-50,5654.0,13.5,19.2
Refund,2500,1000,NO,50-60,5009.0,8.9,11.3
Refund,2500,1000,NO,60-70,5139.0,7.0,12.6
Refund,2500,1000,NO,70-80,5145.0,5.2,17.6
Refund,2500,1000,NO,80-90,4839.0,3.6,20.5
Refund,2500,1000,NO,90-95,4779.0,2.5,21.3
Refund,2500,1000,NO,95-99,4810.0,1.4,25.2
Refund,2500,1000,NO,Top 1%,5032.0,0.3,28.6
Refund,2500,1000,NO,ALL,6416.0,8.0,11.8
Refund,2500,1000,PT,0-10,5948.0,130.4,-24.2
Refund,2500,1000,PT,10-20,8650.0,65.1,-8.7
Refund,2500,1000,PT,20-30,8847.0,42.1,12.2
Refund,2500,1000,PT,30-40,7384.0,24.1,20.8
Refund,2500,1000,PT,40-50,5653.0,13.5,19.2
Refund,2500,1000,PT,50-60,5004.0,8.9,11.3
Refund,2500,1000,PT,60-70,5069.0,6.9,13.2
Refund,2500,1000,PT,70-80,4509.0,4.5,20.8
Refund,2500,1000,PT,80-90,2373.0,1.8,24.3
Refund,2500,1000,PT,90-95,544.0,0.3,22.2
Refund,2500,1000,PT,95-99,290.0,0.1,25.3
Refund,2500,1000,PT,Top 1%,189.0,0.0,28.6
Refund,2500,1000,PT,ALL,5714.0,7.2,12.6
Refund,3000,0,CL,0-10,6185.0,135.5,-24.2
Refund,3000,0,CL,10-20,8973.0,67.6,-8.7
Refund,3000,0,CL,20-30,9220.0,43.9,12.2
Refund,3000,0,CL,30-40,7759.0,25.3,20.8
Refund,3000,0,CL,40-50,6034.0,14.4,19.2
Refund,3000,0,CL,50-60,5418.0,9.7,11.3
Refund,3000,0,CL,60-70,5495.0,7.4,12.6
Refund,3000,0,CL,70-80,5477.0,5.5,17.6
Refund,3000,0,CL,80-90,5198.0,3.9,20.5
Refund,3000,0,CL,90-95,5147.0,2.7,21.3
Refund,3000,0,CL,95-99,3435.0,1.0,26.1
Refund,3000,0,CL,Top 1%,305.0,0.0,28.6
Refund,3000,0,CL,ALL,6663.0,8.3,11.8
Refund,3000,0,NO,0-10,6185.0,135.5,-24.2
Refund,3000,0,NO,10-20,8973.0,67.6,-8.7
Refund,3000,0,NO,20-30,9220.0,43.9,12.2
Refund,3000,0,NO,30-40,7759.0,25.3,20.8
Refund,3000,0,NO,40-50,6034.0,14.4,19.2
Refund,3000,0,NO,50-60,5418.0,9.7,11.3
Refund,3000,0,NO,60-70,5496.0,7.4,12.6
Refund,3000,0,NO,70-80,5478.0,5.5,17.6
Refund,3000,0,NO,80-90,5199.0,3.9,20.5
Refund,3000,0,NO,90-95,5155.0,2.7,21.3
Refund,3000,0,NO,95-99,5228.0,1.6,25.2
Refund,3000,0,NO,Top 1%,5488.0,0.4,28.6
Refund,3000,0,NO,ALL,6776.0,8.5,11.8
Refund,3000,0,PT,0-10,6182.0,135.5,-24.2
Refund,3000,0,PT,10-20,8973.0,67.6,-8.7
Refund,3000,0,PT,20-30,9220.0,43.9,12.2
Refund,3000,0,PT,30-40,7757.0,25.3,20.8
Refund,3000,0,PT,40-50,6033.0,14.4,19.2
Refund,3000,0,PT,50-60,5413.0,9.7,11.3
Refund,3000,0,PT,60-70,5424.0,7.3,13.2
Refund,3000,0,PT,70-80,4842.0,4.9,20.8
Refund,3000,0,PT,80-90,2701.0,2.0,24.5
Refund,3000,0,PT,90-95,670.0,0.3,22.6
Refund,3000,0,PT,95-99,295.0,0.1,25.3
Refund,3000,0,PT,Top 1%,192.0,0.0,28.6
Refund,3000,0,PT,ALL,6041.0,7.6,12.6
Refund,3000,500,CL,0-10,6461.0,141.6,-24.2
Refund,3000,500,CL,10-20,9215.0,69.4,-8.7
Refund,3000,500,CL,20-30,9465.0,45.1,12.2
Refund,3000,500,CL,30-40,7996.0,26.1,20.8
Refund,3000,500,CL,40-50,6255.0,14.9,19.2
Refund,3000,500,CL,50-60,5617.0,10.0,11.3
Refund,3000,500,CL,60-70,5721.0,7.7,12.6
Refund,3000,500,CL,70-80,5725.0,5.8,17.6
Refund,3000,500,CL,80-90,5420.0,4.0,20.5
Refund,3000,500,CL,90-95,5366.0,2.8,21.3
Refund,3000,500,CL,95-99,3596.0,1.1,26.1
Refund,3000,500,CL,Top 1%,315.0,0.0,28.6
Refund,3000,500,CL,ALL,6891.0,8.6,11.8
Refund,3000,500,NO,0-10,6461.0,141.6,-24.2
Refund,3000,500,NO,10-20,9215.0,69.4,-8.7
Refund,3000,500,NO,20-30,9465.0,45.1,12.2
Refund,3000,500,NO,30-40,7996.0,26.1,20.8
Refund,3000,500,NO,40-50,6255.0,14.9,19.2
Refund,3000,500,NO,50-60,5617.0,10.0,11.3
Refund,3000,500,NO,60-70,5722.0,7.7,12.6
Refund,3000,500,NO,70-80,5725.0,5.8,17.6
Refund,3000,500,NO,80-90,5422.0,4.0,20.5
Refund,3000,500,NO,90-95,5374.0,2.8,21.3
Refund,3000,500,NO,95-99,5435.0,1.6,25.2
Refund,3000,500,NO,Top 1%,5705.0,0.4,28.6
Refund,3000,500,NO,ALL,7008.0,8.8,11.8
Refund,3000,500,PT,0-10,6458.0,141.5,-24.2
Refund,3000,500,PT,10-20,9215.0,69.4,-8.7
Refund,3000,500,PT,20-30,9465.0,45.1,12.2
Refund,3000,500,PT,30-40,7994.0,26.1,20.8
Refund,3000,500,PT,40-50,6253.0,14.9,19.2
Refund,3000,500,PT,50-60,5613.0,10.0,11.3
Refund,3000,500,PT,60-70,5650.0,7.6,13.2
Refund,3000,500,PT,70-80,5089.0,5.1,20.8
Refund,3000,500,PT,80-90,2908.0,2.2,24.6
Refund,3000,500,PT,90-95,753.0,0.4,22.7
Refund,3000,500,PT,95-99,303.0,0.1,25.3
Refund,3000,500,PT,Top 1%,195.0,0.0,28.6
Refund,3000,500,PT,ALL,6256.0,7.8,12.6
Refund,3000,1000,CL,0-10,6737.0,147.6,-24.2
Refund,3000,1000,CL,10-20,9457.0,71.2,-8.7
Refund,3000,1000,CL,20-30,9710.0,46.2,12.2
Refund,3000,1000,CL,30-40,8234.0,26.9,20.8
Refund,3000,1000,CL,40-50,6476.0,15.4,19.2
Refund,3000,1000,CL,50-60,5817.0,10.4,11.3
Refund,3000,1000,CL,60-70,5948.0,8.0,12.6
Refund,3000,1000,CL,70-80,5972.0,6.0,17.6
Refund,3000,1000,CL,80-90,5643.0,4.2,20.5
Refund,3000,1000,CL,90-95,5585.0,2.9,21.3
Refund,3000,1000,CL,95-99,3762.0,1.1,26.1
Refund,3000,1000,CL,Top 1%,325.0,0.0,28.6
Refund,3000,1000,CL,ALL,7120.0,8.9,11.8
Refund,3000,1000,NO,0-10,6737.0,147.7,-24.2
Refund,3000,1000,NO,10-20,9457.0,71.2,-8.7
Refund,3000,1000,NO,20-30,9710.0,46.2,12.2
Refund,3000,1000,NO,30-40,8234.0,26.9,20.8
Refund,3000,1000,NO,40-50,6476.0,15.4,19.2
Refund,3000,1000,NO,50-60,5817.0,10.4,11.3
Refund,3000,1000,NO,60-70,5948.0,8.0,12.6
Refund,3000,1000,NO,70-80,5973.0,6.0,17.6
Refund,3000,1000,NO,80-90,5644.0,4.2,20.5
Refund,3000,1000,NO,90-95,5593.0,2.9,21.3
Refund,3000,1000,NO,95-99,5642.0,1.7,25.2
Refund,3000,1000,NO,Top 1%,5922.0,0.4,28.6
Refund,3000,1000,NO,ALL,7240.0,9.1,11.8
Refund,3000,1000,PT,0-10,6734.0,147.6,-24.2
Refund,3000,1000,PT,10-20,9457.0,71.2,-8.7
Refund,3000,1000,PT,20-30,9710.0,46.2,12.2
Refund,3000,1000,PT,30-40,8232.0,26.8,20.8
Refund,3000,1000,PT,40-50,6474.0,15.4,19.2
Refund,3000,1000,PT,50-60,5813.0,10.4,11.3
Refund,3000,1000,PT,60-70,5876.0,7.9,13.2
Refund,3000,1000,PT,70-80,5337.0,5.4,20.8
Refund,3000,1000,PT,80-90,3123.0,2.3,24.6
Refund,3000,1000,PT,90-95,861.0,0.4,22.9
Refund,3000,1000,PT,95-99,313.0,0.1,25.3
Refund,3000,1000,PT,Top 1%,200.0,0.0,28.6
Refund,3000,1000,PT,ALL,6474.0,8.1,12.6
Refund,3500,0,CL,0-10,6971.0,152.8,-24.2
Refund,3500,0,CL,10-20,9779.0,73.6,-8.7
Refund,3500,0,CL,20-30,10083.0,48.0,12.2
Refund,3500,0,CL,30-40,8607.0,28.1,20.8
Refund,3500,0,CL,40-50,6856.0,16.4,19.2
Refund,3500,0,CL,50-60,6226.0,11.1,11.3
Refund,3500,0,CL,60-70,6305.0,8.5,12.6
Refund,3500,0,CL,70-80,6305.0,6.4,17.6
Refund,3500,0,CL,80-90,6003.0,4.5,20.5
Refund,3500,0,CL,90-95,5961.0,3.1,21.3
Refund,3500,0,CL,95-99,4081.0,1.2,26.2
Refund,3500,0,CL,Top 1%,336.0,0.0,28.6
Refund,3500,0,CL,ALL,7472.0,9.4,11.8
Refund,3500,0,NO,0-10,6971.0,152.8,-24.2
Refund,3500,0,NO,10-20,9780.0,73.6,-8.7
Refund,3500,0,NO,20-30,10083.0,48.0,12.2
Refund,3500,0,NO,30-40,8607.0,28.1,20.8
Refund,3500,0,NO,40-50,6856.0,16.4,19.2
Refund,3500,0,NO,50-60,6226.0,11.1,11.3
Refund,3500,0,NO,60-70,6305.0,8.5,12.6
Refund,3500,0,NO,70-80,6306.0,6.4,17.6
Refund,3500,0,NO,80-90,6004.0,4.5,20.5
Refund,3500,0,NO,90-95,5969.0,3.1,21.3
Refund,3500,0,NO,95-99,6061.0,1.8,25.2
Refund,3500,0,NO,Top 1%,6377.0,0.4,28.6
Refund,3500,0,NO,ALL,7600.0,9.5,11.8
Refund,3500,0,PT,0-10,6967.0,152.7,-24.2
Refund,3500,0,PT,10-20,9779.0,73.6,-8.7
Refund,3500,0,PT,20-30,10083.0,48.0,12.2
Refund,3500,0,PT,30-40,8605.0,28.1,20.8
Refund,3500,0,PT,40-50,6854.0,16.3,19.2
Refund,3500,0,PT,50-60,6222.0,11.1,11.3
Refund,3500,0,PT,60-70,6232.0,8.4,13.2
Refund,3500,0,PT,70-80,5669.0,5.7,20.8
Refund,3500,0,PT,80-90,3468.0,2.6,24.7
Refund,3500,0,PT,90-95,1063.0,0.6,23.2
Refund,3500,0,PT,95-99,321.0,0.1,25.3
Refund,3500,0,PT,Top 1%,203.0,0.0,28.6
Refund,3500,0,PT,ALL,6806.0,8.5,12.7
Refund,3500,500,CL,0-10,7247.0,158.8,-24.2
Refund,3500,500,CL,10-20,10021.0,75.5,-8.7
Refund,3500,500,CL,20-30,10328.0,49.2,12.2
Refund,3500,500,CL,30-40,8844.0,28.8,20.8
Refund,3500,500,CL,40-50,7076.0,16.9,19.2
Refund,3500,500,CL,50-60,6426.0,11.5,11.3
Refund,3500,500,CL,60-70,6531.0,8.8,12.6
Refund,3500,500,CL,70-80,6552.0,6.6,17.6
Refund,3500,500,CL,80-90,6225.0,4.6,20.5
Refund,3500,500,CL,90-95,6180.0,3.2,21.3
Refund,3500,500,CL,95-99,4247.0,1.3,26.2
Refund,3500,500,CL,Top 1%,346.0,0.0,28.6
Refund,3500,500,CL,ALL,7701.0,9.6,11.8
Refund,3500,500,NO,0-10,7247.0,158.8,-24.2
Refund,3500,500,NO,10-20,10022.0,75.5,-8.7
Refund,3500,500,NO,20-30,10328.0,49.2,12.2
Refund,3500,500,NO,30-40,8844.0,28.8,20.8
Refund,3500,500,NO,40-50,7076.0,16.9,19.2
Refund,3500,500,NO,50-60,6426.0,11.5,11.3
Refund,3500,500,NO,60-70,6531.0,8.8,12.6
Refund,3500,500,NO,70-80,6553.0,6.6,17.6
Refund,3500,500,NO,80-90,6227.0,4.6,20.5
Refund,3500,500,NO,90-95,6188.0,3.2,21.3
Refund,3500,500,NO,95-99,6268.0,1.9,25.2
Refund,3500,500,NO,Top 1%,6594.0,0.4,28.6
Refund,3500,500,NO,ALL,7832.0,9.8,11.8
Refund,3500,500,PT,0-10,7244.0,158.7,-24.2
Refund,3500,500,PT,10-20,10021.0,75.5,-8.7
Refund,3500,500,PT,20-30,10328.0,49.2,12.2
Refund,3500,500,PT,30-40,8842.0,28.8,20.8
Refund,3500,500,PT,40-50,7075.0,16.9,19.2
Refund,3500,500,PT,50-60,6422.0,11.5,11.3
Refund,3500,500,PT,60-70,6458.0,8.7,13.2
Refund,3500,500,PT,70-80,5917.0,6.0,20.8
Refund,3500,500,PT,80-90,3681.0,2.7,24.7
Refund,3500,500,PT,90-95,1175.0,0.6,23.3
Refund,3500,500,PT,95-99,331.0,0.1,25.4
Refund,3500,500,PT,Top 1%,207.0,0.0,28.6
Refund,3500,500,PT,ALL,7023.0,8.8,12.7
Refund,3500,1000,CL,0-10,7523.0,164.9,-24.2
Refund,3500,1000,CL,10-20,10263.0,77.3,-8.7
Refund,3500,1000,CL,20-30,10573.0,50.3,12.2
Refund,3500,1000,CL,30-40,9082.0,29.6,20.8
Refund,3500,1000,CL,40-50,7297.0,17.4,19.2
Refund,3500,1000,CL,50-60,6626.0,11.8,11.3
Refund,3500,1000,CL,60-70,6757.0,9.1,12.6
Refund,3500,1000,CL,70-80,6800.0,6.9,17.6
Refund,3500,1000,CL,80-90,6448.0,4.8,20.5
Refund,3500,1000,CL,90-95,6399.0,3.3,21.3
Refund,3500,1000,CL,95-99,4416.0,1.3,26.3
Refund,3500,1000,CL,Top 1%,356.0,0.0,28.6
Refund,3500,1000,CL,ALL,7930.0,9.9,11.8
Refund,3500,1000,NO,0-10,7523.0,164.9,-24.2
Refund,3500,1000,NO,10-20,10264.0,77.3,-8.7
Refund,3500,1000,NO,20-30,10573.0,50.3,12.2
Refund,3500,1000,NO,30-40,9082.0,29.6,20.8
Refund,3500,1000,NO,40-50,7297.0,17.4,19.2
Refund,3500,1000,NO,50-60,6626.0,11.8,11.3
Refund,3500,1000,NO,60-70,6757.0,9.1,12.6
Refund,3500,1000,NO,70-80,6801.0,6.9,17.6
Refund,3500,1000,NO,80-90,6449.0,4.8,20.5
Refund,3500,1000,NO,90-95,6407.0,3.3,21.3
Refund,3500,1000,NO,95-99,6475.0,1.9,25.2
Refund,3500,1000,NO,Top 1%,6812.0,0.5,28.6
Refund,3500,1000,NO,ALL,8064.0,10.1,11.8
Refund,3500,1000,PT,0-10,7520.0,164.8,-24.2
Refund,3500,1000,PT,10-20,10263.0,77.3,-8.7
Refund,3500,1000,PT,20-30,10573.0,50.3,12.2
